train_number,timestamp_intervals
102,86400
103,21600
105,86400
110,21600
115,28800
118,600
119,86400
12,600
131,1800
141,28800
151,28800
153,28800
155,600
161,3600
165,21600
176,28800
177,600
185,21600
188,86400
198,600
200,600
204,21600
205,1800
209,600
21,86400
211,600
212,1800
217,86400
218,600
227,600
23,21600
242,600
246,21600
251,28800
256,600
272,1800
287,1800
29,600
290,1800
294,3600
297,86400
300,1800
301,86400
306,1800
310,21600
314,21600
321,1800
325,3600
335,1800
338,3600
348,21600
352,1800
354,28800
361,3600
367,1800
370,21600
383,1800
386,600
39,600
391,600
397,86400
401,1800
42,28800
421,86400
428,3600
429,86400
43,21600
430,86400
435,600
437,1800
439,86400
440,1800
446,28800
447,1800
451,28800
453,600
461,21600
462,21600
465,1800
469,86400
482,86400
483,1800
490,86400
491,86400
495,1800
498,1800
499,21600
505,21600
506,28800
507,600
66,86400
74,1800
75,28800
79,21600
9,600
92,21600
